Row,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"El Salvador",2846600,2931192,3019224,3109563,3201313,3293952,3387383,3481624,3576838,3673068,3770059,3867309,3964270,4060260,4154692,4247502,4338458,4426675,4511129,4591134,4666364,4737257,4804935,4871035,4936807,5002336,5067537,5133274,5200602,5270079,5342198,5416323,5490477,5561919,5628600,5689938,5746284,5797765,5844846,5887936,5927006,5962136,5994077,6023797,6052123,6079399,6105810,6131764,6157686,6183875,6210568,6237923,6266070,6295128,6325124,6356143,6388126
"Equatorial Guinea",258791,262219,266000,270618,276300,283506,291790,299413,304000,303982,298846,289501,277646,265771,255800,247962,242156,239678,241980,249929,264374,284630,308206,331552,352118,369023,382981,394961,406620,419188,432853,447266,462637,479098,496768,515853,536460,558492,581770,606181,631666,658384,686664,716949,749535,784496,821687,860840,901599,943639,986853,1031191,1076413,1122277,1168568,1215180,1262002
"Eritrea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2238626,2218430,2204222,2196464,2195179,2206432,2237405,2292416,2374722,2481058,2600973,2719803,2826659,2918205,2996536,3062779,3119920,3170435,3213972,3250100,3281449,3311449,3342818,3376557,3412893
"Estonia",964581.433706753,979794.891437153,994553.150376227,1008569.57116965,1021653.88485865,1033695.09419081,1044773.98414865,1055134.99986469,1065137.0584899,1075053.77899087,1084975.89580796,1094869.37575995,1104735.12858764,1114537.09749126,1124259.14233779,1133909.87238158,1143546.4193445,1153254.26335912,1163139.00092397,1173268.34781845,1183584.78623558,1194026.15203366,1204634.13352988,1215462.86695812,1226488.07333359,1237770.78516916,1249112.77216468,1259914.07136078,1269388.04098714,1276971.27191329,1282474.2762262,1520813,1488061,1457093,1433024,1417736,1409673,1406349,1403789,1399112,1391730,1382732,1372909,1363565,1355648,1349363,1344296,1340073,1336135,1332101,1327709,1323159,1319062,1316277,1315325,1316510,1319390
"Ethiopia PDR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ethiopia",23704519,24281875,24887284,25515181,26161815,26819919,27490434,28187025,28928832,29726022,30595819,31525601,32460423,33325335,34072293,34676124,35168862,35630070,36171738,36875128,37769089,38832071,40033232,41320653,42656078,44030487,45456653,46942808,48503440,50146518,51876327,53681181,53295566,55180998,57047908,58883530,60697443,62507724,64343013,66224804,68159423,70142091,72170584,74239505,76346311,78489206,80674348,82916235,85233913,87639964,90139929,92726985,95385798,98094265,100835458,103603462,106399924
"Falkland Islands (Malvinas)",2126,2116,2109,2087,2078,2058,2033,2021,2004,1992,1961,1957,1928,1924,1903,1889,1877,1873,1859,1854,1846,1847,1841,1846,1850,1855,1869,1891,1929,1982,2063,2160,2276,2389,2490,2596,2693,2763,2841,2892,2931,2947,2957,2949,2935,2934,2937,2932,2917,2901,2873,2823,2794,2792,2834,2928,3068
"Faroe Islands",35076,35524,35969,36406,36847,37278,37705,38124,38570,39009,39458,39925,40387,40850,41299,41722,42134,42538,42936,43337,43725,44108,44488,44891,45330,45818,46349,46830,47166,47274,47120,46739,46266,45856,45625,45615,45796,46096,46436,46735,46997,47233,47432,47600,47722,47792,47825,47820,47808,47814,47823,47843,47892,47960,48051,48173,48331
"Fiji",407249,421665,436293,450542,463968,476404,487981,498940,509704,520562,531635,542844,554138,565415,576626,587557,598296,609383,621585,635307,651021,668280,685497,700483,711775,718639,721783,722930,724594,728573,735401,744469,754963,765609,775425,784386,792736,800157,806303,811006,813925,815257,816076,817860,821604,827870,836190,845361,853637,859818,863449,865069,865608,866453,868627,872399,877459
"Finland",4467773,4498817,4526746,4550239,4568598,4581115,4588656,4594024,4601033,4612366,4629380,4651172,4675456,4698779,4718749,4734437,4746932,4758252,4771345,4788243,4809813,4835100,4862178,4888204,4911220,4930341,4946373,4961087,4977115,4996222,5019125,5044925,5071789,5097097,5119005,5136979,5151746,5164242,5175926,5187954,5200477,5213366,5227093,5242170,5258927,5277491,5297739,5319449,5342262,5365782,5390038,5414770,5438982,5461411,5481122,5497713,5511371
